,state,year,quater,district,registered_users,app_opens
299,andhra-pradesh,2022,2,vizianagaram district,943242,50230853
300,andhra-pradesh,2022,2,ysr district,1412848,106157470
301,andhra-pradesh,2022,2,west godavari district,1714357,103338893
302,andhra-pradesh,2022,2,chittoor district,2392549,158771722
303,andhra-pradesh,2022,3,east godavari district,2702234,85780890
304,andhra-pradesh,2022,3,srikakulam district,1147016,46323107
305,andhra-pradesh,2022,3,visakhapatnam district,3397514,87888969
306,andhra-pradesh,2022,3,prakasam district,1567520,114185009
307,andhra-pradesh,2022,3,anantapur district,2030824,181038520
308,andhra-pradesh,2022,3,kurnool district,1924127,143715547
309,andhra-pradesh,2022,3,guntur district,2647100,91146114
310,andhra-pradesh,2022,3,krishna district,2685215,86220959
311,andhra-pradesh,2022,3,spsr nellore district,1588875,105928407
312,andhra-pradesh,2022,3,vizianagaram district,995141,46767889
313,andhra-pradesh,2022,3,ysr district,1487140,107976611
314,andhra-pradesh,2022,3,west godavari district,1805967,97509407
315,andhra-pradesh,2022,3,chittoor district,2517657,162524274
316,andhra-pradesh,2022,4,east godavari district,2835087,173720880
317,andhra-pradesh,2022,4,srikakulam district,1204785,72666058
318,andhra-pradesh,2022,4,visakhapatnam district,3566854,208604256
319,andhra-pradesh,2022,4,prakasam district,1642503,94432083
320,andhra-pradesh,2022,4,anantapur district,2128066,136685634
321,andhra-pradesh,2022,4,kurnool district,2018290,105333688
322,andhra-pradesh,2022,4,guntur district,2774365,144773169
323,andhra-pradesh,2022,4,krishna district,2813645,156902257
324,andhra-pradesh,2022,4,spsr nellore district,1663684,103101986
325,andhra-pradesh,2022,4,vizianagaram district,1044490,64406405
326,andhra-pradesh,2022,4,ysr district,1556901,93975668
327,andhra-pradesh,2022,4,west godavari district,1893310,129116752
328,andhra-pradesh,2022,4,chittoor district,2636036,189655966
329,andhra-pradesh,2023,1,east godavari district,2965296,98931582
330,andhra-pradesh,2023,1,srikakulam district,1263204,48743038
331,andhra-pradesh,2023,1,visakhapatnam district,3732544,107253885
332,andhra-pradesh,2023,1,prakasam district,1719910,112502189
333,andhra-pradesh,2023,1,anantapur district,2228505,177793392
334,andhra-pradesh,2023,1,kurnool district,2114023,149581663
335,andhra-pradesh,2023,1,guntur district,2900895,103514892
336,andhra-pradesh,2023,1,krishna district,2941585,98727644
337,andhra-pradesh,2023,1,spsr nellore district,1740294,111993275
338,andhra-pradesh,2023,1,vizianagaram district,1094782,55519223
339,andhra-pradesh,2023,1,ysr district,1628595,109842928
340,andhra-pradesh,2023,1,west godavari district,1980446,102965151
341,andhra-pradesh,2023,1,chittoor district,2755784,164669558
342,andhra-pradesh,2023,2,east godavari district,3082893,101375784
343,andhra-pradesh,2023,2,srikakulam district,1317771,48040159
344,andhra-pradesh,2023,2,visakhapatnam district,3877504,115516314
345,andhra-pradesh,2023,2,prakasam district,1792637,104288559
346,andhra-pradesh,2023,2,anantapur district,2323796,164437247
347,andhra-pradesh,2023,2,kurnool district,2202517,142843895
348,andhra-pradesh,2023,2,guntur district,3014655,97915941
349,andhra-pradesh,2023,2,krishna district,3054956,99723659
350,andhra-pradesh,2023,2,spsr nellore district,1811781,113350865
351,andhra-pradesh,2023,2,vizianagaram district,1141578,55405616
352,andhra-pradesh,2023,2,ysr district,1694843,98586928
353,andhra-pradesh,2023,2,west godavari district,2059880,116005083
354,andhra-pradesh,2023,2,chittoor district,2865250,170462384
355,andhra-pradesh,2023,3,east godavari district,3211557,83823834
356,andhra-pradesh,2023,3,srikakulam district,1375950,44064462
357,andhra-pradesh,2023,3,visakhapatnam district,4035323,116087299
358,andhra-pradesh,2023,3,prakasam district,1868997,94303883
359,andhra-pradesh,2023,3,anantapur district,2421293,152875757
360,andhra-pradesh,2023,3,kurnool district,2295754,124493256
361,andhra-pradesh,2023,3,guntur district,3137289,71855007
362,andhra-pradesh,2023,3,krishna district,3177643,73280755
363,andhra-pradesh,2023,3,spsr nellore district,1887005,73583227
364,andhra-pradesh,2023,3,vizianagaram district,1190571,41978556
365,andhra-pradesh,2023,3,ysr district,1764648,78787151
366,andhra-pradesh,2023,3,west godavari district,2146530,73274852
367,andhra-pradesh,2023,3,chittoor district,2981337,129032458
368,arunachal-pradesh,2018,1,lower subansiri district,498,0
369,arunachal-pradesh,2018,1,tirap district,557,0
370,arunachal-pradesh,2018,1,papum pare district,7649,0
371,arunachal-pradesh,2018,1,anjaw district,278,0
372,arunachal-pradesh,2018,1,lower siang district,270,0
373,arunachal-pradesh,2018,1,dibang valley district,66,0
374,arunachal-pradesh,2018,1,west kameng district,2202,0
375,arunachal-pradesh,2018,1,shi yomi district,49,0
376,arunachal-pradesh,2018,1,east kameng district,222,0
377,arunachal-pradesh,2018,1,lohit district,1207,0
378,arunachal-pradesh,2018,1,lepa rada district,210,0
379,arunachal-pradesh,2018,1,lower dibang valley district,601,0
380,arunachal-pradesh,2018,1,longding district,256,0
381,arunachal-pradesh,2018,1,west siang district,846,0
382,arunachal-pradesh,2018,1,kamle district,22,0
383,arunachal-pradesh,2018,1,upper siang district,301,0
384,arunachal-pradesh,2018,1,kurung kumey district,97,0
385,arunachal-pradesh,2018,1,siang district,192,0
386,arunachal-pradesh,2018,1,kra daadi district,88,0
387,arunachal-pradesh,2018,1,changlang district,1208,0
388,arunachal-pradesh,2018,1,pakke kessang district,39,0
389,arunachal-pradesh,2018,1,east siang district,1803,0
390,arunachal-pradesh,2018,1,upper subansiri district,572,0
391,arunachal-pradesh,2018,1,tawang district,1525,0
392,arunachal-pradesh,2018,1,namsai district,737,0
393,arunachal-pradesh,2018,2,lower subansiri district,724,0
394,arunachal-pradesh,2018,2,tirap district,856,0
395,arunachal-pradesh,2018,2,papum pare district,11418,0
396,arunachal-pradesh,2018,2,anjaw district,410,0
397,arunachal-pradesh,2018,2,lower siang district,494,0
398,arunachal-pradesh,2018,2,dibang valley district,112,0
399,arunachal-pradesh,2018,2,west kameng district,3442,0
400,arunachal-pradesh,2018,2,shi yomi district,80,0
401,arunachal-pradesh,2018,2,east kameng district,343,0
402,arunachal-pradesh,2018,2,lohit district,1898,0
403,arunachal-pradesh,2018,2,lepa rada district,318,0
404,arunachal-pradesh,2018,2,lower dibang valley district,893,0
405,arunachal-pradesh,2018,2,longding district,412,0
406,arunachal-pradesh,2018,2,west siang district,1224,0
407,arunachal-pradesh,2018,2,kamle district,37,0
408,arunachal-pradesh,2018,2,upper siang district,481,0
409,arunachal-pradesh,2018,2,kurung kumey district,153,0
410,arunachal-pradesh,2018,2,siang district,293,0
411,arunachal-pradesh,2018,2,kra daadi district,144,0
412,arunachal-pradesh,2018,2,changlang district,2014,0
413,arunachal-pradesh,2018,2,pakke kessang district,66,0
414,arunachal-pradesh,2018,2,east siang district,2646,0
415,arunachal-pradesh,2018,2,upper subansiri district,883,0
416,arunachal-pradesh,2018,2,tawang district,2266,0
417,arunachal-pradesh,2018,2,namsai district,1276,0
418,arunachal-pradesh,2018,3,lower subansiri district,1033,0
419,arunachal-pradesh,2018,3,tirap district,1226,0
420,arunachal-pradesh,2018,3,papum pare district,16009,0
421,arunachal-pradesh,2018,3,anjaw district,542,0
422,arunachal-pradesh,2018,3,lower siang district,717,0
423,arunachal-pradesh,2018,3,dibang valley district,145,0
424,arunachal-pradesh,2018,3,west kameng district,4765,0
425,arunachal-pradesh,2018,3,shi yomi district,118,0
426,arunachal-pradesh,2018,3,east kameng district,521,0
427,arunachal-pradesh,2018,3,lohit district,2612,0
428,arunachal-pradesh,2018,3,lepa rada district,431,0
429,arunachal-pradesh,2018,3,lower dibang valley district,1286,0
430,arunachal-pradesh,2018,3,longding district,644,0
431,arunachal-pradesh,2018,3,west siang district,1652,0
